-0.011,-0.053,-0.007
0.000,-0.072,-0.022
-0.002,-0.032,-0.004
-0.014,-0.012,-0.006
-0.008,-0.011,-0.004
-0.018,-0.036,-0.018
-0.016,-0.059,0.021
0.017,-0.130,0.071
0.006,-0.046,-0.001
-0.005,-0.015,-0.001
0.084,-0.390,0.249
-0.009,0.007,-0.002
-0.012,0.016,0.010
-0.022,-0.018,0.007
-0.014,-0.001,0.001
-0.011,-0.089,0.006
-0.007,-0.024,0.021
-0.019,-0.092,0.043
-0.002,-0.058,0.044
0.046,-0.101,0.028
0.020,0.001,-0.002
-0.003,-0.070,0.043
0.017,0.017,0.005
0.009,0.001,0.012
0.032,0.024,-0.006
0.039,-0.040,0.013
0.010,-0.060,-0.010
0.000,-0.068,0.030
-0.002,-0.108,0.046
0.010,-0.074,-0.004
0.016,-0.093,0.032
0.028,-0.016,-0.025
0.037,-0.028,-0.023
0.006,-0.043,0.013
0.001,-0.937,-0.009
-0.042,-0.904,-0.197
0.173,-0.933,0.195
0.454,-0.964,0.066
0.052,-0.907,-0.034
-0.097,-0.939,-0.027
-0.093,-0.918,0.115
0.004,-0.937,0.098
0.584,-0.967,0.087
0.586,-0.915,0.088
0.193,-0.912,-0.219
0.339,-0.959,0.277
0.619,-0.936,0.050
0.285,-0.959,-0.045
0.672,-1.021,0.143
0.073,-0.966,-0.303
0.241,-0.924,0.121
0.483,-0.955,0.016
0.493,-0.943,0.092
0.048,-0.935,-0.191
0.443,-0.956,0.205
-0.031,-0.948,0.223
0.059,-0.931,0.049
-0.153,-0.917,0.069
-0.146,-0.924,-0.107
0.462,-0.959,0.398
0.014,-0.958,-0.149
0.221,-0.899,0.029
0.311,-0.926,-0.117
0.238,-0.903,0.026
0.412,-0.922,0.036
0.030,-0.906,-0.075
-0.157,-0.910,-0.041
-0.010,-0.875,-0.121
0.509,-1.078,0.117
0.154,-0.940,-0.166
-0.104,-0.950,-0.269
0.103,-0.941,0.190
0.032,-0.938,0.158
-0.143,-0.943,-0.095
0.038,-1.051,0.035
0.003,-0.900,-0.022
-0.238,-0.939,0.019
-0.124,-0.932,0.053
0.049,-0.940,-0.247
-0.030,-0.919,-0.154
0.655,-0.805,0.104
-0.111,-0.905,-0.080
